location_id,name,description,adress_string,price_level,rating,num_reviews,review_rating_count,cuisine
25182196,Bubble Paradise,"Bubble tea, Bubble waffles et crepes sucrée","9 Rue Des Belles Feuilles, 75116 Paris France",,,0,,"Française, Asiatique"
21512799,Pret a Manger,,"91 Boulevard Haussmann Paris, 75008 Paris France",€€ - €€€,2.5,6,"{'1': '3', '2': '0', '3': '1', '4': '1', '5': '1'}",
6813435,Le Quid,"A Paris, les modes se font et se défont au rythme des saisons. Si vite, qu’il en devient parfois difficile de trouver un peu de simplicité parmi ces bars et restaurants « conceptuels » qui prennent leurs quartiers dans la capitale… Au Quid, pas de cuisine moléculaire, ni de plats végétaliens mijotés avec des herbes inconnues, mais de la cuisine faite maison, servie par une équipe souriante dans un lieu chaleureux en plein cœur de Paris. Le Quid, c’est l’endroit où il fait bon être pour un Happy Hour entre amis, autour de tapas. Le petit coin parfait pour s’attabler autour de plats savoureux et élaborés à partir de produits frais, le temps d’un dîner entre amis, ou d’un déjeuner au soleil. Formule midi - plat + dessert = 11€ Happy-hour 17h 00h Pinte 3€ Vins 4€ Cocktails et coupe de champagne 5€","12 rue de la Grande Truanderie, 75001 Paris France",€,3.5,21,"{'1': '4', '2': '1', '3': '5', '4': '5', '5': '6'}","Française, Pizza, Espagnole"
27365643,La Boutique,,"209 Boulevard Voltaire, 75011 Paris France",,,0,,
850136,La Petite Périgourdine,,"39, Rue Des Écoles 5th Arrondissement, 75005 Paris France",€€ - €€€,4.0,1369,"{'1': '75', '2': '70', '3': '134', '4': '519', '5': '572'}",Française
17424240,Lylee,,"4 rue Beaugrenelle intersection Rue Linois, 75015 Paris France",€€ - €€€,5.0,107,"{'1': '0', '2': '0', '3': '2', '4': '6', '5': '99'}","Asiatique, Thaï, Vietnamienne, Saine"
23787843,Le Domremy,,"74 Rue Jeanne d'Arc, 75013 Paris France",,,0,,Pizza
1056772,Le Tournesol cafe,"La cantine du midi ou l'apéro du début soirée. Café, boissons fraîches, cocktails et assiettes gourmandes. C'est tous les jours de 8h à 2h !","9 rue de la Gaite, 75014 Paris France",€€ - €€€,2.5,323,"{'1': '114', '2': '38', '3': '61', '4': '75', '5': '35'}","Française, Bar"
25165823,Le P'tit Piano,"Le P'tit Piano French restaurant. Cuisine française perigourdine paris 9  rue cadet ouvert dimanche Traditional French restaurant 9eme arrondissement de Paris foie gras côté de bœuf magret de canard confit de canard .Best rate in paris hight score review Best burger in paris. Live music restaurant piano singing opéra. Dîner romantique, Anniversaire, grand groupe
Formule petit déjeuner formule déjeuner. Breakfast","26 rue Cadet, 75009 Paris France",€€ - €€€,4.0,55,"{'1': '4', '2': '4', '3': '3', '4': '12', '5': '32'}","Française, Européenne"
1783026,Le Vinci,,"23 rue Paul Valery, 75116 Paris France",€€ - €€€,4.5,85,"{'1': '0', '2': '1', '3': '6', '4': '28', '5': '50'}","Italienne, Européenne, Méditerranéenne"
